Model,Data,MSE,MAE,R^2
Linear Regression,Train,3345.025454081263,34.20785335879749,0.8167449030997144
Linear Regression,Test,4654.851830551999,45.05451261710416,0.9111003156219546
Linear Regression,Cross Validation,6622.144367947307,39.04766465647505,0.6245022470140038
